RUT,Nombre de la Sociedad,Código SAP,RUT dueño,Nombre Dueño,Clasificación de Dueño,Unidad de Negocio de la sociedad,Asociada,Contabilidad,Gerente General,Moneda Funcional,Giro,Dirección,País,Fecha de Constitución,Acciones Emitidas,Acciones Invertidas,RUT Matriz,Porcentaje,Clasificacion de Matriz,Empresa
76.158.995-4,Consorcio Salfa y Asociados S.A.,1209,,,,ICSA,NO,Interna,Rafael Valdes Gonzalez,CL$,Movimiento de Tierra Preparación de Terreno Obras de Ing,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,13-07-2011,,,83.109.000-6,50,Mitad - Minoritario,Empresa Constructora Fe Grande S.A.
76.158.995-4,Consorcio Salfa y Asociados S.A.,1209,,,,ICSA,NO,Interna,Guillermo Salinas Errázuriz,CL$,Movimiento de Tierra Preparación de Terreno Obras de Ing,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,13-07-2011,,,93.659.000-4,50,Mitad - Mayoritario,Constructora Salfa S.A.
76.160.461-9,Inmobiliaria Hacienda La Dehesa S.A.,1211,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Elab y Desarrollo Inmob Inversiones Asesorías en Materia de Gestión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,03-08-2011,N/A ,N/A ,76102139-7,50,Minoritario,Fondo de Inversión Privado Siena
76.160.461-9,Inmobiliaria Hacienda La Dehesa S.A.,1211,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Elab y Desarrollo Inmob Inversiones Asesorías en Materia de Gestión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,03-08-2011,N/A ,N/A ,96.823.220-7,50,Mayoritario,Inmobiliaria Geosal S.A.
76.163.073-3,Inmobiliaria Marin SpA,1213,,,,Aconcagua,NO,Interna,N/A,CL$,Inmobiliaria e Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,25-08-2011,N/A ,N/A ,96.823.220-7,100,Mayoritario,Inmobiliaria Geosal S.A.
76.163.091-1,Inmobiliaria Las Vizcachas SpA,1212,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria e Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,25-08-2011,N/A ,N/A ,76.036.448-7,100,Mayoritario,Fondo de Inv. Priv. BTG Pactual Geosal I
76.168.212-1,Inmobiliaria Obispo Salas SpA,1215,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,09-09-2011,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.168.212-1,Inmobiliaria Obispo Salas SpA,1215,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,N/A,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,09-09-2011,N/A ,N/A ,96.951.850-3,50,Mayoritario,Rentas y Desarrollo Aconcagua S.A.
76.170.844-9,Newall S.A.,1323,,,,Revisar,SI,Revisar,Matías Stamm Moreno,CL$,Terminación y Acabado de Edificios,0,Chile,04-10-2011,N/A ,N/A ,86.856.700-7,50,Mayoritario,Constructora Novatec S.A.
76.170.844-9,Newall S.A.,1323,,,,Revisar,SI,Revisar,Juan Manuel Irarrázaval Mena,CL$,Terminación y Acabado de Edificios,0,Chile,04-10-2011,N/A ,N/A ,Externo,50,Minoritario,(Externo)
76.172.207-7,Inmobiliaria Noval S.A.,1214,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Proyectos Inmobiliarios de Viviendas y Actividades de Asesoramiento,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,09-09-2011,N/A ,N/A ,76.053.696-2,99,Mayoritario,Constructora Noval Limitada
76.172.207-7,Inmobiliaria Noval S.A.,1214,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Proyectos Inmobiliarios de Viviendas y Actividades de Asesoramiento,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,09-09-2011,N/A ,N/A ,77.558.130-1,1,Minoritario,Aconcagua Gestión Inmobiliaria S.A.
76.173.057-6,Inmobiliaria Vertical S.A.,1216,,,,Asociaciones Aconcagua,SI,Interna,Jorge Meruane Boza,CL$,"Expl de Bs Raíces, Inversiones y Asesorias Inmobiliarias","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,02-09-2011,N/A ,N/A ,76485350-4,50,Minoritario,Fin Corp SpA (Externo)
76.173.057-6,Inmobiliaria Vertical S.A.,1216,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Expl de Bs Raíces, Inversiones y Asesorias Inmobiliarias","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,02-09-2011,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.184.804-6,Incolur Fe Grande Ltda.,1317,,,,Revisar,SI,Externa,Rafael Valdes Gonzalez,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,83.109.000-6,50,Mayoritario,Empresa Constructora Fe Grande S.A.
76.184.804-6,Incolur Fe Grande Ltda.,1317,,,,Revisar,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,Externo,50,Minoritario,Ingeniería y Construcciones Incolur S.A. (Externo)
76.202.050-5,Inmobiliaria San Damián SpA,1122,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,27-09-2011,N/A ,N/A ,70976000-9,50,Minoritario,Club Dep. U. Catolica de Chile
76.202.050-5,Inmobiliaria San Damián SpA,1122,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,27-09-2011,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.203.788-2,Andes Generación SpA,1324,,,,Revisar,SI,Revisar,N/A,CL$,Generación de Energía Eléctrica en Otras Centrales N.C.P.,0,Chile,,,,96.660.680-0,"31,13",Minoritario,Salfa Rentas Inmobiliarias S.A.
76.203.788-2,Andes Generación SpA,1324,,,,Revisar,SI,Revisar,Juan Manuel Irarrázaval Mena,CL$,Generación de Energía Eléctrica en Otras Centrales N.C.P.,0,Chile,,,,Externo,"68,87",Mayoritario,(Externo)
76.212.444-0,Inmobiliaria Las Ñipas S.A.,1235,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Comerc y Ejec de Proy Inmob de Vi Des Inmob,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,08-03-2012,N/A ,N/A ,96.584.230-6,50,Mitad - Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.212.444-0,Inmobiliaria Las Ñipas S.A.,1235,,,,Aconcagua,NO,Interna,N/A,CL$,Comerc y Ejec de Proy Inmob de Vi Des Inmob,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,08-03-2012,N/A ,N/A ,96.823.220-7,50,Mitad - Minoritario,Inmobiliaria Geosal S.A.
76.246.361-K,Inmobiliaria y Constructora Baquedano SpA,1334,,,,Asociaciones Aconcagua,SI,Revisar,Matías Stamm Moreno,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,16-08-2012,N/A ,N/A ,76.173.057-6,100,Mayoritario,Inmobiliaria Vertical S.A.
76.249.447-7,Inmobiliaria y Constructora El Portal S.A.,1274,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,Matías Stamm Moreno,CL$,"Explotación de Bienes Raices, Construccion, Inversiones, Asesorias Inmobs","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,12-11-2012,N/A ,N/A ,76.458.119-9,"99,9999",Mayoritario,Inmobiliaria e Inversiones Rentas Antofagasta SpA
76.249.447-7,Inmobiliaria y Constructora El Portal S.A.,1274,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,Matías Stamm Moreno,CL$,"Explotación de Bienes Raices, Construccion, Inversiones, Asesorias Inmobs","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,12-11-2012,N/A ,N/A ,96.584.230-6,"0,0001",Minoritario,Inmobiliaria Monte Aconcagua S.A.
76.254.143-2,Inmobiliaria Cuidad Batuco S.A.,1237,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Comp, Vent, Alquiler (Exep Amobla) de Inmueble Propio o Ar, Actv de Asesor","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-11-2012,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.254.143-2,Inmobiliaria Cuidad Batuco S.A.,1237,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Comp, Vent, Alquiler (Exep Amobla) de Inmueble Propio o Ar, Actv de Asesor","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-11-2012,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.254.157-2,Constructora Cuidad Batuco S.A.,1238,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Constr de Edificios Completos o de Partes de Edificios,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-11-2012,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.254.157-2,Constructora Cuidad Batuco S.A.,1238,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Constr de Edificios Completos o de Partes de Edificios,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-11-2012,N/A ,N/A ,86.856.700-7,50,Mayoritario,Constructora Novatec S.A.
76.272.107-4,Fondo de Inversión Credicorp Capital Inmobiliario - Aconcagua II,1265,,,,Asociaciones Aconcagua,SI,Externa,Matías Stamm Moreno,CL$,0,0,Chile,,N/A ,N/A ,96.973.290-4,30,Minoritario,Inmobiliaria Aconcagua S.A.
76.272.107-4,Fondo de Inversión Credicorp Capital Inmobiliario - Aconcagua II,1265,,,,Asociaciones Aconcagua,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,0,0,Chile,,N/A ,N/A ,Externo,70,Mayoritario,(Externo)
76.273.219-K,Inmobiliaria Geomar Cuatro S.A.,1240,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Inmobiliaria, Activ de Asesoramiento Empresarial y en Mat de Gestión","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,01-03-2013,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.273.219-K,Inmobiliaria Geomar Cuatro S.A.,1240,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Inmobiliaria, Activ de Asesoramiento Empresarial y en Mat de Gestión","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,01-03-2013,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.299.903-K,Inmobiliaria e Inversiones Lutecia SpA,1254,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,N/A,CL$,Inmobiliaria y Sociedad de Inversión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,21-11-2014,N/A ,N/A ,76.414.376-0,100,Mayoritario,Nueva Inmobiliaria La Portada SpA
76.301.094-5,Concremag S.A.,1243,,,,Asociaciones ICSA,SI,Interna,Pablo Aromando Reinmmoller,CL$,"Extracción de Piedra, Arena y Arcilla Elaboración Hormigones y Mortero","Ruta 9 Norte Km 8,5 Lt 1−b , Barranco Amarillo Punta Arenas",Chile,23-08-2013,,,78137730-9,50,Minoritario,Constructora Vilicic S.A. 
76.301.094-5,Concremag S.A.,1243,,,,Asociaciones ICSA,SI,Interna,Guillermo Salinas Errázuriz,CL$,"Extracción de Piedra, Arena y Arcilla Elaboración Hormigones y Mortero","Ruta 9 Norte Km 8,5 Lt 1−b , Barranco Amarillo Punta Arenas",Chile,23-08-2013,,,93.659.000-4,50,Mayoritario,Constructora Salfa S.A.
76.321.921-6,Inmobiliaria Brisas de Batuco S.A.,1242,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Inmobiliaria, Activ de Asesoramiento Empresarial y en Mat de Gestión","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-09-2013,N/A ,N/A ,76.172.207-7,50,Mayoritario,Inmobiliaria Noval S.A.
76.321.921-6,Inmobiliaria Brisas de Batuco S.A.,1242,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Inmobiliaria, Activ de Asesoramiento Empresarial y en Mat de Gestión","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-09-2013,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.336.563-8,Inmobiliaria Monte Santo 2 S.A.,1246,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmob Soc de Inversiones Act de Asesoramiento y Gestión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,09-09-2013,N/A ,N/A ,76004655-8,50,Minoritario,Inm. Todos Los Santos Ltda.
76.336.563-8,Inmobiliaria Monte Santo 2 S.A.,1246,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmob Soc de Inversiones Act de Asesoramiento y Gestión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,09-09-2013,N/A ,N/A ,96.953.540-8,50,Mayoritario,Inmobiliaria Sol de Maipú S.A.
76.336.765-7,Inmobiliaria Peñón IM SpA,1244,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Sociedad de Inversión e Inmobiliaria,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,17-10-2013,N/A ,N/A ,76.282.832-4,100,Mayoritario,Inmobiliaria Los Sauces SpA
76.336.765-7,Inmobiliaria Peñón IM SpA,1244,,,,Asociaciones Aconcagua,SI,Revisar,N/A,CL$,Sociedad de Inversión e Inmobiliaria,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,17-10-2013,N/A ,N/A ,76.282.832-4,100,Mayoritario,Inmobiliaria Los Sauces SpA
76.337.879-9,Inmobiliaria Estancia Batuco SpA,1245,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Inmobiliaria, Sociedad de Inversiones y Actividades de Asesoramiento","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-10-2013,N/A ,N/A ,76.254.143-2,100,Mayoritario,Inmobiliaria Cuidad Batuco S.A.
76.349.920-0,Inmobiliaria Los Aromos S.A.,1089,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Inversiones Inmobiliarias,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-08-2005,N/A ,N/A ,96.823.220-7,50,Mayoritario,Inmobiliaria Geosal S.A.
76.349.920-0,Inmobiliaria Los Aromos S.A.,1089,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inversiones Inmobiliarias,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-08-2005,N/A ,N/A ,99012000-5,50,Minoritario,Consorcio Nac. de Seguros S.A.
76.349.965-0,El Peñón SpA,1247,,,,Rentas y Desarrollo Inmobiliario,NO,Interna,N/A,CL$,Desarrollo Negocios Inmob Compra Venta Arriendo y Explot de Bienes Raice,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,96.951.850-3,100,Mayoritario,Rentas y Desarrollo Aconcagua S.A.
76.363.031-5,Constructora Brisas de Batuco S.A.,1248,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Construcción de Edificios Completos,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-01-2014,N/A ,N/A ,76.053.696-2,50,Mayoritario,Constructora Noval Limitada
76.363.031-5,Constructora Brisas de Batuco S.A.,1248,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Construcción de Edificios Completos,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-01-2014,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.363.717-4,Inmobiliaria Geomar Cinco S.A.,1249,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Comp Vta Arr Bs Inm no Amob,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,23-01-2014,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.363.717-4,Inmobiliaria Geomar Cinco S.A.,1249,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Comp Vta Arr Bs Inm no Amob,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,23-01-2014,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.380.365-1,Constructora Geomar Cinco S.A.,1250,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Construcción de Edificios Completos o de Partes de Edificios,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,17-03-2014,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.380.365-1,Constructora Geomar Cinco S.A.,1250,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Construcción de Edificios Completos o de Partes de Edificios,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,17-03-2014,N/A ,N/A ,86.856.700-7,50,Mayoritario,Constructora Novatec S.A.
76.409.068-3,El Peñón Aconcagua SpA,1252,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles Propios o Ar","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,08-07-2014,N/A ,N/A ,96.973.290-4,100,Mayoritario,Inmobiliaria Aconcagua S.A.
76.414.376-0,Nueva Inmobiliaria La Portada SpA,1255,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,Pablo Nash Lavin,CL$,"Inmobiliaria, Soc de Inversión y Rentista de Capital","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,04-11-2014,N/A ,N/A ,86096600-K,50,Minoritario,Sociedad Avícola Pollos Kutulas Ltda.
76.414.376-0,Nueva Inmobiliaria La Portada SpA,1255,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,N/A,CL$,"Inmobiliaria, Soc de Inversión y Rentista de Capital","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,04-11-2014,N/A ,N/A ,96.951.850-3,50,Mayoritario,Rentas y Desarrollo Aconcagua S.A.
76.416.288-9,Inmobiliaria Reñaca SpA,1259,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,05-12-2014,N/A ,N/A ,76.173.057-6,"21,7",Minoritario,Inmobiliaria Vertical S.A.
76.416.288-9,Inmobiliaria Reñaca SpA,1259,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,05-12-2014,N/A ,N/A ,76.282.832-4,50,Mayoritario,Inmobiliaria Los Sauces SpA
76.416.288-9,Inmobiliaria Reñaca SpA,1259,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,05-12-2014,N/A ,N/A ,96.584.230-6,"28,3",Minoritario,Inmobiliaria Monte Aconcagua S.A.
76.416.293-5,Inmobiliaria Monte Santo 3 SpA,1258,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,05-12-2014,N/A ,N/A ,76004655-8,"33,3333",Minoritario,Inmobiliaria Todos Los Santos S.A.
76.416.293-5,Inmobiliaria Monte Santo 3 SpA,1258,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,05-12-2014,N/A ,N/A ,96.584.230-6,"33,3333",Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.416.293-5,Inmobiliaria Monte Santo 3 SpA,1258,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,05-12-2014,N/A ,N/A ,99012000-5,"33,3333",Minoritario,Consorcio Nac. de Seguros S.A.
76.418.723-7,Constructora El Peñón SpA,1260,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Construcción de Edificios Completos o Partes de Edificios,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,30-10-2014,N/A ,N/A ,86.856.700-7,100,Mayoritario,Constructora Novatec S.A.
76.423.535-5,Inmobiliaria e Inversiones Lutecia Dos SpA,1256,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,N/A,CL$,Inmobiliaria y Sociedad de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,21-11-2014,N/A ,N/A ,76.414.376-0,100,Mayoritario,Nueva Inmobiliaria La Portada SpA
76.440.160-3,Inmobiliaria Manantiales S.A.,1092,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inversiones Inmobiliarias,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,06-01-2006,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.440.160-3,Inmobiliaria Manantiales S.A.,1092,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Inversiones Inmobiliarias,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,06-01-2006,N/A ,N/A ,96.823.220-7,50,Mayoritario,Inmobiliaria Geosal S.A.
76.451.787-3,Inmobiliaria Parque Arrau SpA,1302,,,,Asociaciones Aconcagua,SI,Externa,Matías Stamm Moreno,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,15-11-2016,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.451.787-3,Inmobiliaria Parque Arrau SpA,1302,,,,Asociaciones Aconcagua,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,15-11-2016,N/A ,N/A ,Externo,50,Minoritario,Inmobiliaria Todos Los Santos Ltda. (Externo)
76.452.850-6,Artec Inmobiliaria S.A.,1165,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,CL$,Comp Vta. Arr Bs Prop Arr Serv. de Ing Serv de Administ Gest y Control,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,22-12-2005,,,76.730.450-1,"11,2585",Minoritario,Salfa Gestión Ingeniería S.A.
76.452.850-6,Artec Inmobiliaria S.A.,1165,,,,ICSA,NO,Interna,Juan Manuel Irarrázaval Mena,CL$,Comp Vta. Arr Bs Prop Arr Serv. de Ing Serv de Administ Gest y Control,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,22-12-2005,,,99.585.080-K,"88,7415",Mayoritario,Tecsa Inversiones Inmobiliarias S.A.
76.453.436-0,Inmobiliaria Villa Pacífico SpA,1285,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-11-2016,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.453.436-0,Inmobiliaria Villa Pacífico SpA,1285,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Sociedad de Inversión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-11-2016,N/A ,N/A ,99012000-5,50,Minoritario,Consorcio Nac. de Seguros S.A.
76.458.119-9,Inmobiliaria e Inversiones Rentas Antofagasta SpA,1266,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,Pablo Nash Lavin,CL$,Inmobiliaria Constructora y Soc. de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,17-03-2015,N/A ,N/A ,86096600-K,50,Minoritario,Sociedad Avícola Pollos Kutulas Ltda.
76.458.119-9,Inmobiliaria e Inversiones Rentas Antofagasta SpA,1266,,,,Asociaciones Rentas y Desarrollo Inmobiliario,SI,Interna,N/A,CL$,Inmobiliaria Constructora y Soc. de Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,17-03-2015,N/A ,N/A ,96.951.850-3,50,Mayoritario,Rentas y Desarrollo Aconcagua S.A.
76.468.833-3,Constructora Austral SpA,1268,,,,ICSA,NO,Interna,Guillermo Salinas Errázuriz,CL$,Fabricación y Montaje de Losas de Hormigón,Via Dos Sitio 36 Mzna. M #S/N Comuna Cabo de Hornos Ciudad Pto. Williams,Chile,,,,93.659.000-4,100,Mayoritario,Constructora Salfa S.A.
76.495.508-0,Inmobiliaria Icon Uno SpA,1269,,,,Asociaciones Aconcagua,SI,Interna,Pablo Nash Lavin,CL$,Inversiones e Inmobiliaria,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,28-07-2015,N/A ,N/A ,96.976.080-0,100,Mayoritario,Inmobiliaria Ciudad del Norte S.A.
76.495.527-7,Inmobiliaria Icon Dos SpA,1270,,,,Asociaciones Aconcagua,SI,Externa,Pablo Nash Lavin,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,28-07-2015,N/A ,N/A ,96.976.080-0,50,Mayoritario,Inmobiliaria Ciudad del Norte S.A.
76.495.527-7,Inmobiliaria Icon Dos SpA,1270,,,,Asociaciones Aconcagua,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,28-07-2015,N/A ,N/A ,Externo,50,Minoritario,(Externo)
76.499.908-8,Inmobiliaria Laguna del Sol SpA,1272,,,,Rentas y Desarrollo Inmobiliario,NO,Interna,N/A,CL$,Inmobiliaria y Sociedad de Inversión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,26-11-2015,N/A ,N/A ,96.951.850-3,100,Mayoritario,Rentas y Desarrollo Aconcagua S.A.
